City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,tuktoyaktuk,69.4541,-133.0374,-26.0,76,40,4.12,CA,1680963587
250,yerbogachen,61.2767,108.0108,-16.14,86,100,6.0,RU,1680963587
251,colares,38.7992,-9.4469,26.85,49,0,4.02,PT,1680963588
252,peniche,39.3558,-9.3811,26.16,65,84,4.35,PT,1680963441
253,palana,59.1167,159.9667,-13.46,85,100,2.49,RU,1680963588
254,cayenne,4.9333,-52.3333,29.02,61,75,3.6,GF,1680963206
255,nushki,29.5542,66.0215,26.36,18,30,2.89,PK,1680963588
256,linjiang,41.8069,126.9078,1.77,43,0,1.6,CN,1680963589
257,puerto penasco,31.3167,-113.5333,18.11,38,0,2.77,MX,1680963589
258,sokoto,13.0609,5.239,41.52,9,5,1.9,NG,1680963543
259,yumen,40.2833,97.2,12.77,10,25,9.52,CN,1680963589
260,husavik,66.0449,-17.3389,4.46,96,100,4.7,IS,1680963589
261,ribeira grande,38.5167,-28.7,15.99,63,40,7.6,PT,1680963397
262,mount gambier,-37.8333,140.7667,11.81,68,100,4.57,AU,1680963590
263,port elizabeth,-33.918,25.5701,20.05,81,75,8.23,ZA,1680963590
264,sillod,20.3,75.65,24.86,51,83,5.39,IN,1680963590
265,monrovia,6.3005,-10.7969,31.87,68,100,4.35,LR,1680963590
266,yuryevets,57.3201,43.1041,5.44,48,0,0.81,RU,1680963590
267,beyneu,45.3167,55.2,16.07,49,82,8.79,KZ,1680963590
268,plymouth,41.8334,-70.8328,7.09,33,0,5.66,US,1680963591
269,tiksi,71.6872,128.8694,-19.71,99,49,4.1,RU,1680963488
270,souillac,-20.5167,57.5167,26.21,78,40,3.6,MU,1680963414
271,vostok,46.4856,135.8833,-5.72,68,5,1.29,RU,1680963591
272,hithadhoo,-0.6,73.0833,28.3,64,40,0.82,MV,1680963476
273,sarkand,45.41,79.9186,9.32,67,100,1.98,KZ,1680963592
274,nortelandia,-14.4547,-56.8028,25.69,83,100,1.71,BR,1680963592
275,motygino,58.1831,94.7592,-7.42,82,100,3.4,RU,1680963592
276,klaksvik,62.2266,-6.589,9.51,92,92,12.9,FO,1680963592
277,nizwa,22.9333,57.5333,30.56,21,97,4.49,OM,1680963593
278,ola,59.5833,151.2833,-13.2,88,62,3.58,RU,1680963593
279,kamaishi,39.2667,141.8833,5.75,73,100,2.91,JP,1680963593
280,rapid valley,44.0625,-103.1463,7.99,52,0,0.0,US,1680963493
281,qinhuangdao,39.9317,119.5883,12.09,36,6,4.5,CN,1680963593
282,hofn,64.2539,-15.2082,6.82,95,100,5.75,IS,1680963594
283,arona,28.0996,-16.681,18.23,79,75,4.63,ES,1680963594
284,nouadhibou,20.931,-17.0347,21.99,64,0,9.26,MR,1680963594
285,dongsheng,39.8161,109.9776,6.46,40,46,4.97,CN,1680963594
286,los llanos de aridane,28.6585,-17.9182,18.86,69,100,3.09,ES,1680963594
287,verkhnyaya inta,65.9811,60.3094,0.82,91,100,7.35,RU,1680963594
288,ouegoa,-20.35,164.4333,23.06,78,5,1.26,NC,1680963595
289,inuvik,68.3499,-133.7218,-20.52,77,75,1.54,CA,1680963595
290,cabedelo,-6.9811,-34.8339,30.37,70,89,4.15,BR,1680963595
291,aklavik,68.2191,-135.0107,-28.0,76,75,2.57,CA,1680963437
292,touros,-5.1989,-35.4608,29.97,68,98,4.53,BR,1680963595
293,okhotsk,59.3833,143.3,-16.99,92,12,2.23,RU,1680963595
294,wagar,16.1525,36.2032,38.49,15,73,5.26,SD,1680963596
295,faya,18.3851,42.4509,21.29,45,6,3.98,SA,1680963596
296,bridlington,54.0831,-0.1919,13.49,75,57,4.49,GB,1680963596
297,vao,-22.6667,167.4833,25.33,76,1,5.88,NC,1680963596
